"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"MBG apa itu","2","2","2026-06-09T00:44:07.000Z","utiyundaaa","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","7282332058004816897","7649189964722881288","https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/f45f12e425ba516347b99b870589920f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=25e16d64&x-expires=1781874000&x-signature=IANAgTO9ExNrAvSoq%2B%2BaHDtwH5s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"tempe terkena anemia","9","0","2026-05-31T05:00:32.000Z","dea_risky81","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","7004072727977296898","7645916312091722514","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/8f4699f38a097cd5c40112f763c60ced~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=171393ba&x-expires=1781874000&x-signature=1advssdCvmGJF%2FmMNaAe%2FrIgD2Q%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"tempe pucettt","0","0","2026-06-13T12:56:57.000Z","ibrahimsukmaaa","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","7271268393709601797","7650862305873298197","https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/b9b1c6f0af212b5d640eeb57755f7ba6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ef70815e&x-expires=1781874000&x-signature=ltsyZcpb8hyr0PguFd77v%2BlkhM0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"GIZINYA dimana","3","3","2026-06-09T06:07:05.000Z","bennkok88","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","6836983700909130754","7649273171229803285","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/f5c53ca1f82d3b775d785e248e6f5463~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8b01e178&x-expires=1781874000&x-signature=zXUh9FJL%2FE5%2BgXuuZ%2B5hsvws7%2BE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"wowok mana si wowok","8","1","2026-05-28T13:36:45.000Z","ahmad.hadi304","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","7407678213704467461","7644936076981125908","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/33f86ae1f6fbcf263fdbe9bffba2a10c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=513acbd9&x-expires=1781874000&x-signature=IYXf2ZdLyXEbuT%2BDO2J7i%2B5DA%2FM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"bkn tempe kecap itu mah tempe pucat😂","435","24","2026-04-15T04:51:06.000Z","amarilis0700","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","6894754682754024450","7628843983711535892","https://p16-common-sign.tiktokcdn.com/tos-useast2a-avt-0068-giso/ec41b857de8cd213323182187886f1e6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=2b43e20a&x-expires=1781874000&x-signature=F9Wt%2BkI0cyhXQNqMJ4BcHCqh%2B6g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"Nasi 3.000 ikan goreng 2.000 pisang 1.000 soalnya belum matang tempe 1.000 mentimun 1.000 total 8.000 ribu 😭😭😭","6","1","2026-05-22T03:46:46.000Z","kedairara_22","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","6955794728857175042","7642557533534192404","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/513dd27029b6e9bbfa20d19a43d696b6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=32ced462&x-expires=1781874000&x-signature=IZGhKEEuZIHpnamxGau2WSSDA2Y%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"ini GIZINYA dimana ??????","11","1","2026-04-16T00:07:10.000Z","agung.prakoso29","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","7499499628430803975","7629140897179337488","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/918ae5e915d9435e52d847d40ae89da3~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9560c75c&x-expires=1781874000&x-signature=WSHCk%2BcFhHypoveYwYP0Epd274w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"ampar ampar pisang pisangnya belum masak😂","898","31","2026-04-15T09:09:42.000Z","oma.ceca","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","7237393550676608006","7628909912638849800","https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/a96c68b3cd20433b1f38cf116d55a709~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=400c0856&x-expires=1781874000&x-signature=wUk8FoLfHBeFuwxGBOKysfgQA7c%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"saos, tempe busuk, pisang mentah, astaga","136","4","2026-04-15T13:29:36.000Z","mei.simanungkalit3","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","7449579529053864967","7628977607639515912","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/bae3d6e643b7e453a254f2c52e3c381c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=61f4d4ab&x-expires=1781874000&x-signature=w5%2BDPJOhdHTE4QXJov2SF9mL684%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"ya allah pajak gua dipake kaya gini","26","5","2026-04-16T20:58:55.000Z","ketanhitamnikmat","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","7343978606672069638","7629464415310480148","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/a9fe1daf1f84742eb8e3125521ec3c5c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=926f842b&x-expires=1781874000&x-signature=SAu8VZlfL%2Fq0BhIl7miWQaUBbY8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"pisang mentah gimana bisa mau di makan","2","1","2026-05-31T09:51:42.000Z","andimerry1","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","6791389241001362434","7645991150596342544","https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/476ed7ca38d09eed0c5c2792aa2c3f68~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=934648eb&x-expires=1781874000&x-signature=tSELGhmF9gLlQ0XAOrAIyf8gikw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"sppg daerahmu itu yg bermasalah pak. daerahku aman aj","7","8","2026-06-12T14:10:10.000Z","rina.andriyani949","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","7477921886731879440","7650510993261249300","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/46cdc9082b21f34011ae1004174e1441~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6d4b708d&x-expires=1781874000&x-signature=pXFk21Wiv%2BwsJ%2BWCRtRz4ntk8jk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"letak gizinya dmana","3","3","2026-04-20T00:41:24.000Z","mhudahuda746","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","6898117348008952833","7630635022730871570","https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/92f12cf3e87118020ae28deacea56675~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9c90bd6f&x-expires=1781874000&x-signature=2%2BcWKHU72QezMWYVeNkjfvZoudc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"i will not eat that","3","1","2026-05-22T07:02:12.000Z","cloudiswhitee","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","6535036436990951426","7642607912954626837","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/908c3dc76f2cf606b35a8fbad7931c86~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ef70a9b5&x-expires=1781874000&x-signature=KENQ4JnrQ42ir%2BGAng9HUQmIrn0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"Dih kata gua 😅😂","5","0","2026-05-24T15:18:38.000Z","patungkeramik","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","6827700838954943490","7643478028312199943","https://p19-common-sign.tiktokcdn.com/tos-alisg-avt-0068/4fcceadc5dfd3b875e4b4c4c330cef1f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=5329855e&x-expires=1781874000&x-signature=vtYsQKiEmEUDwqcK6IcmPx1qdFc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"Bukan programnya yg gagal tp yg kelola mbg yg tdk amanah,menurtku mbg sdh tepat,dapat mkn gratis untuk semua sekolah bahkan ibu menysui dan hamil,bgt jg lapangan kerja yg banyak untuk semua kalangan tua maupun muda,sekolah tinggi smpai yg ga sekolah","6","3","2026-06-11T05:58:05.000Z","desialfionita96","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","7049680873448784897","7650013073110500114","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/4004326c4f648dc0602efbcbe8e6771f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=3d026c9a&x-expires=1781874000&x-signature=Q6%2B8CEyUSBzNxhzPxx3Ryr2WCqc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"Kesian kesian","8","0","2026-05-26T03:02:36.000Z","nalza2026","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","7534174582577529873","7644030436268131093","https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/73ce3f464e40ffddc2a3769237a6f440~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=16d9cbe8&x-expires=1781874000&x-signature=kv%2FLVhb0eIdRnuP2oSs%2FJIoaqoQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"udah jadi mobil Pajero 😂","1","1","2026-05-22T01:02:05.000Z","adikana92","https://www.tiktok.com/@puangdanyalbustan/video/7628808061368470804","6681947478990160898","7642515073404044040","https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/b814d10fe78389c9c8fc100721d6851e~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=081116b5&x-expires=1781874000&x-signature=7MUU7ZJbnn2WjwXwK0lkbIdBU%2BM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2"
"MBGG NYAA WEENAKK","2","2","2026-06-02T05:49:43.000Z","raaciww8","https://www.tiktok.com/@sppgtegallegabogortengah/video/7646650521977294088","7623663249808851988","7646671153901749012","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/653001e75cc685a0c1a43a394a586e01~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=73949db6&x-expires=1781874000&x-signature=cGkQfvD68qQlEPYF4vImUtk1xAY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"maikonos mona royal dong mbg pelis🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏","0","0","2026-06-17T13:32:44.000Z","kenzio5057","https://www.tiktok.com/@sppgtegallegabogortengah/video/7646650521977294088","7625260324359373841","7652356795914519303","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/99fad12a518a267882fbe2e675e355f7~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=fab79511&x-expires=1781874000&x-signature=pZbPzzy92%2BmvedRYQ6lJp%2Fh3FVE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"ada nasi kuning","1","0","2026-06-11T10:02:56.000Z","aditya.ptrn","https://www.tiktok.com/@sppgtegallegabogortengah/video/7646650521977294088","6770208395518903298","7650076182122496776","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/5ac10d79591865214a9518a9edf2fd0e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c8286268&x-expires=1781874000&x-signature=5Dkco0lEU4yYjVesz5tSZXHmXT4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"enak min, hari terakhir makan mbg nih😿","1","2","2026-06-02T06:43:38.000Z","rakrakh_aa","https://www.tiktok.com/@sppgtegallegabogortengah/video/7646650521977294088","7629952585311126549","7646683175306003216","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/dab9be1d96f3341bc907c5aa80cc97a3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7ec4b7ca&x-expires=1781874000&x-signature=72tidtr0HeYmYPWcGiptJhFUzsI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"enak bet tadi sumpah","0","2","2026-06-02T05:26:41.000Z","haikal.radita4","https://www.tiktok.com/@sppgtegallegabogortengah/video/7646650521977294088","7589229600871040007","7646665233617208072","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/11dbcad672c1f08cc84bc2804f3d1b14~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cad4faeb&x-expires=1781874000&x-signature=lXV1OXGepBw9dLjd%2B9dRd4LARs4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"min.maaf pasir rangsana 01 bukan soal nya perasaan kayak kemarin makan mbg ini?","0","0","2026-06-10T05:25:21.000Z","farhanaditya9771","https://www.tiktok.com/@sppgtegallegabogortengah/video/7646650521977294088","7093341505625228289","7649633521025778453","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0aa320ea501fcb24c2690921ce8e23da~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=964a446f&x-expires=1781874000&x-signature=%2F%2BLpzcWZZPEZYaDabkuGuyaSNRU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"","0","0","2026-06-11T02:45:41.000Z","mellstro.son","https://www.tiktok.com/@sppgtegallegabogortengah/video/7646650521977294088","7414362456765907974","7649963483984331528","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c2a9e5143b517be8a14a09604119702e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=241b8c89&x-expires=1781874000&x-signature=T1aP0WL5b%2FCmfPhwKXgXWIcilKw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Mantaap min","0","0","2026-06-08T10:48:29.000Z","migoreng1_0","https://www.tiktok.com/@sppgtegallegabogortengah/video/7646650521977294088","7632943166991172615","7648974691994206984","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/45a272ed6f3b6f49980ee07bb68245f1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5f52161d&x-expires=1781874000&x-signature=UWr4YcZpHcPsGP1RIsZejJq0h9Y%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"enak min mbg nya","0","0","2026-06-07T01:59:12.000Z","royanfk8","https://www.tiktok.com/@sppgtegallegabogortengah/video/7646650521977294088","7556987603426378759","7648467168828539669","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/17c12e0373c47bb3f2afc982009a724b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=097f6063&x-expires=1781874000&x-signature=voWC5uaL6mFLZaYPClW5ggrzD1g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"tolong mbg parfum velik sir galatea","0","0","2026-06-06T11:14:41.000Z","giofaizanutama","https://www.tiktok.com/@sppgtegallegabogortengah/video/7646650521977294088","7350789245001073669","7648239183949136641","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7a8c9d7502a39a93eddadf2d83284d40~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5e15ae64&x-expires=1781874000&x-signature=AFYuiGXad489eMOkUWGenVe4LtM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"enak bgtu minnnnnn tapi kurang sihh buah nya kurang banyakk🤣🤣🤣","0","0","2026-06-06T06:26:29.000Z","myyyyyayaaa","https://www.tiktok.com/@sppgtegallegabogortengah/video/7646650521977294088","7637412648468136978","7648163709320102676","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/667598f1176213d285c3f85ce1e895df~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0487077e&x-expires=1781874000&x-signature=8dL54r7bwLGNSTPX9wMaopwMW1w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"[Sticker] besok burger gak mau tau","0","0","2026-06-04T07:26:53.000Z","laila_kamill","https://www.tiktok.com/@sppgtegallegabogortengah/video/7646650521977294088","7622299523733799943","7647438204409135888","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/15485c64489a8bfc0f484d22a9e28997~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e7dd0e20&x-expires=1781874000&x-signature=%2Bi2AYuVTzZiIBEFEPkbEBX3a2ss%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"itu mah menu tadi","0","0","2026-06-02T04:40:15.000Z","bengbengcoklat110","https://www.tiktok.com/@sppgtegallegabogortengah/video/7646650521977294088","7609341848297980936","7646652969384346369","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/a1cf1dc57dc4a1df3dc91a81ac515577~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c685e16a&x-expires=1781874000&x-signature=DwDpu5jm34l8W01IcI233XTIuC8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"@firgii19:pertama nih
btw besok menunya dimsum mentai dongg pliss🙏","0","0","2026-06-02T04:34:09.000Z","firgie.atallah19","https://www.tiktok.com/@sppgtegallegabogortengah/video/7646650521977294088","7538706451997656082","7646651663777121044","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9940cf0de8490181799bceed30ef4de9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1032d139&x-expires=1781874000&x-signature=pmAg%2BNdMasziCohw7wUN%2BupC2nM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Spal Spil yang ketiga min","0","2","2026-06-02T04:46:55.000Z","zidane1851","https://www.tiktok.com/@sppgtegallegabogortengah/video/7646650521977294088","7616597082694976533","7646654954275554069","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/18954a9cdfe39b32486f2e770807be75~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1db8dc8a&x-expires=1781874000&x-signature=aA8KxHg2fVgx9WqeujL7L%2FWOv2Y%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"tutup mbg","0","0","2026-06-18T09:49:41.000Z","payo0442","https://www.tiktok.com/@sppgtegallegabogortengah/video/7646650521977294088","6847441348640211970","7652670360681628434","https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/eff67d89274656fbe5d061a9b96e4092~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d9b488ca&x-expires=1781874000&x-signature=4Or6UPDjdhuddOMVS2IPKA1uRf0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"yg semangat yaa yg lagi kerja di tempat program mbg sekarang kan lagi demo karena gk mau ada mbg tapi mbg sekarang dh membaik gk kek dulu untuk yg demo di pikir pikir lagi yg lagi demo mbg itu penting buat kita semua yg masih sekolah yg lagi demo mah taunya yg aneh aneh padahal kan itu pass baru di buka kalo sekarang mah dh gk kalo dulu gk enak sih maklum di maaffin sekarang kan program mbg dh menaik dari kualitas makanan nya sudah baik dh gk ada yg keracunan harus nya kan pass baru di buka demonya kalo sekarang mas dh bagus mbg tuu kalo dulu mah iya 20.000 orang keracunan kalo sekarang kan dh gk 🙏","0","0","2026-06-15T13:04:10.000Z","faridzxx19","https://www.tiktok.com/@sppgtegallegabogortengah/video/7646650521977294088","7633043250962646036","7651607245386711816","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/792e3cc6ab5f7a12dd6f52028f8def0f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=beec2c1d&x-expires=1781874000&x-signature=Hv9xBitU4oyrLGqsEEy6AsBR97E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"🥰🥰🥰","0","0","2026-06-08T07:31:10.000Z","rakhaadikathiarry","https://www.tiktok.com/@sppgtegallegabogortengah/video/7646650521977294088","7574545311232197652","7648923808380650248","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e27b3e388e285d6f2803e30072e92498~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4c392103&x-expires=1781874000&x-signature=1IUVr%2FILbQzcRTXKqWOPcIJnlfc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
