date,text,platform,cleaned_text,tokenized,normalized,no_stopwords,stemmed,final_text,sentiment_score,sentiment
2026-05-01T11:25:17.000Z,jelasin letak ga bermanfaatnya mbg?,tiktok,jelasin letak ga bermanfaatnya mbg,"['jelasin', 'letak', 'ga', 'bermanfaatnya', 'mbg']","['jelasin', 'letak', 'tidak', 'bermanfaatnya', 'mbg']","['jelasin', 'letak', 'bermanfaatnya', 'mbg']","['jelasin', 'letak', 'manfaat', 'mbg']",jelasin letak manfaat mbg,5.0,Positif
2026-05-01T12:20:36.000Z,Hari buruh bahasnya MBG,tiktok,hari buruh bahasnya mbg,"['hari', 'buruh', 'bahasnya', 'mbg']","['hari', 'buruh', 'bahasnya', 'mbg']","['buruh', 'bahasnya', 'mbg']","['buruh', 'bahas', 'mbg']",buruh bahas mbg,2.0,Positif
2026-05-01T11:00:07.000Z,hentikan MBG pak.,tiktok,hentikan mbg pak,"['hentikan', 'mbg', 'pak']","['hentikan', 'mbg', 'pak']","['hentikan', 'mbg']","['henti', 'mbg']",henti mbg,-4.0,Negatif
2026-05-01T14:33:02.000Z,mbg balita d tempatku untuk 3 hari ni pak,tiktok,mbg balita d tempatku untuk  hari ni pak,"['mbg', 'balita', 'd', 'tempatku', 'untuk', 'hari', 'ni', 'pak']","['mbg', 'balita', 'di', 'tempatku', 'untuk', 'hari', 'nih', 'pak']","['mbg', 'balita', 'tempatku', 'nih']","['mbg', 'balita', 'tempat', 'nih']",mbg balita tempat nih,-3.0,Negatif
2026-05-02T04:41:53.000Z,MBG tidak bermanfaat menurut aku soalnya sia-sia,tiktok,mbg tidak bermanfaat menurut aku soalnya siasia,"['mbg', 'tidak', 'bermanfaat', 'menurut', 'aku', 'soalnya', 'siasia']","['mbg', 'tidak', 'bermanfaat', 'menurut', 'saya', 'soalnya', 'siasia']","['mbg', 'bermanfaat', 'siasia']","['mbg', 'manfaat', 'siasia']",mbg manfaat siasia,5.0,Positif
2026-05-01T10:27:04.000Z,Prabowo jadi malu 😁,tiktok,prabowo jadi malu,"['prabowo', 'jadi', 'malu']","['prabowo', 'jadi', 'malu']","['prabowo', 'malu']","['prabowo', 'malu']",prabowo malu,-4.0,Negatif
2026-05-01T10:44:56.000Z,BPJS jadi amburadul,tiktok,bpjs jadi amburadul,"['bpjs', 'jadi', 'amburadul']","['bpjs', 'jadi', 'amburadul']","['bpjs', 'amburadul']","['bpjs', 'amburadul']",bpjs amburadul,-5.0,Negatif
2026-05-01T13:24:18.000Z,semenjak ada mbg bpjs kok pada di blokir,tiktok,semenjak ada mbg bpjs kok pada di blokir,"['semenjak', 'ada', 'mbg', 'bpjs', 'kok', 'pada', 'di', 'blokir']","['semenjak', 'ada', 'mbg', 'bpjs', 'kok', 'pada', 'di', 'blokir']","['semenjak', 'mbg', 'bpjs', 'blokir']","['semenjak', 'mbg', 'bpjs', 'blokir']",semenjak mbg bpjs blokir,-3.0,Negatif
2026-05-01T10:10:04.000Z,cucu ku gk doyan pak karna masakannya GK enak maaf ya pak,tiktok,cucu ku gk doyan pak karna masakannya gk enak maaf ya pak,"['cucu', 'ku', 'gk', 'doyan', 'pak', 'karna', 'masakannya', 'gk', 'enak', 'maaf', 'ya', 'pak']","['cucu', 'ku', 'tidak', 'doyan', 'pak', 'karena', 'masakannya', 'tidak', 'enak', 'maaf', 'ya', 'pak']","['cucu', 'doyan', 'masakannya', 'enak', 'maaf']","['cucu', 'doyan', 'masakan', 'enak', 'maaf']",cucu doyan masakan enak maaf,-4.0,Negatif
2026-05-01T12:11:24.000Z,"mbg bisa bikin aku nabung plc😔
#darianaksekolahan",tiktok,"mbg bisa bikin aku nabung plc
darianaksekolahan","['mbg', 'bisa', 'bikin', 'aku', 'nabung', 'plc', 'darianaksekolahan']","['mbg', 'bisa', 'bikin', 'saya', 'nabung', 'plc', 'darianaksekolahan']","['mbg', 'bikin', 'nabung', 'plc', 'darianaksekolahan']","['mbg', 'bikin', 'nabung', 'plc', 'darianaksekolahan']",mbg bikin nabung plc darianaksekolahan,0.0,Netral
2026-05-01T11:10:21.000Z,"hentikan saja mbg, sekolah saya tidak dapat",tiktok,hentikan saja mbg sekolah saya tidak dapat,"['hentikan', 'saja', 'mbg', 'sekolah', 'saya', 'tidak', 'dapat']","['hentikan', 'saja', 'mbg', 'sekolah', 'saya', 'tidak', 'dapat']","['hentikan', 'mbg', 'sekolah']","['henti', 'mbg', 'sekolah']",henti mbg sekolah,-1.0,Negatif
2026-05-01T11:05:44.000Z,sangat penting untuk bisnismu,tiktok,sangat penting untuk bisnismu,"['sangat', 'penting', 'untuk', 'bisnismu']","['sangat', 'penting', 'untuk', 'bisnismu']",['bisnismu'],['bisnis'],bisnis,3.0,Positif
2026-05-01T10:11:41.000Z,CEO MBG LAGI PROMOSI,tiktok,ceo mbg lagi promosi,"['ceo', 'mbg', 'lagi', 'promosi']","['ceo', 'mbg', 'lagi', 'promosi']","['ceo', 'mbg', 'promosi']","['ceo', 'mbg', 'promosi']",ceo mbg promosi,0.0,Netral
2026-05-01T14:44:38.000Z,malah anak ku gamau makan yg dari mbg😅,tiktok,malah anak ku gamau makan yg dari mbg,"['malah', 'anak', 'ku', 'gamau', 'makan', 'yg', 'dari', 'mbg']","['malah', 'anak', 'ku', 'enggak mau', 'makan', 'yang', 'dari', 'mbg']","['anak', 'enggak mau', 'makan', 'mbg']","['anak', 'enggak', 'mau', 'makan', 'mbg']",anak enggak mau makan mbg,-5.0,Negatif
2026-05-01T11:22:18.000Z,gak ada mbg gua juga hidup😅,tiktok,gak ada mbg gua juga hidup,"['gak', 'ada', 'mbg', 'gua', 'juga', 'hidup']","['tidak', 'ada', 'mbg', 'saya', 'juga', 'hidup']","['mbg', 'hidup']","['mbg', 'hidup']",mbg hidup,-4.0,Negatif
2026-05-01T11:04:32.000Z,"tetep adain mbg pls, ada mbg aku bisa nabung ga dikit² beli makanan😔",tiktok,tetep adain mbg pls ada mbg aku bisa nabung ga dikit beli makanan,"['tetep', 'adain', 'mbg', 'pls', 'ada', 'mbg', 'aku', 'bisa', 'nabung', 'ga', 'dikit', 'beli', 'makanan']","['tetap', 'mengadakan', 'mbg', 'pls', 'ada', 'mbg', 'saya', 'bisa', 'nabung', 'tidak', 'dikit', 'beli', 'makanan']","['mengadakan', 'mbg', 'pls', 'mbg', 'nabung', 'dikit', 'beli', 'makanan']","['ada', 'mbg', 'pls', 'mbg', 'nabung', 'dikit', 'beli', 'makan']",ada mbg pls mbg nabung dikit beli makan,-14.0,Negatif
2026-05-01T14:39:22.000Z,"plis mbg sepenting ituu, uang saku bisa di tabungg☹️",tiktok,plis mbg sepenting ituu uang saku bisa di tabungg,"['plis', 'mbg', 'sepenting', 'ituu', 'uang', 'saku', 'bisa', 'di', 'tabungg']","['plis', 'mbg', 'sepenting', 'itu', 'uang', 'saku', 'bisa', 'di', 'tabungg']","['plis', 'mbg', 'sepenting', 'uang', 'saku', 'tabungg']","['plis', 'mbg', 'penting', 'uang', 'saku', 'tabungg']",plis mbg penting uang saku tabungg,-4.0,Negatif
2026-05-01T11:43:24.000Z,padahal ada mbg enak jir uang saku gw jadi ga ngurang😹,tiktok,padahal ada mbg enak jir uang saku gw jadi ga ngurang,"['padahal', 'ada', 'mbg', 'enak', 'jir', 'uang', 'saku', 'gw', 'jadi', 'ga', 'ngurang']","['padahal', 'ada', 'mbg', 'enak', 'jir', 'uang', 'saku', 'saya', 'jadi', 'tidak', 'ngurang']","['mbg', 'enak', 'jir', 'uang', 'saku', 'ngurang']","['mbg', 'enak', 'jir', 'uang', 'saku', 'ngurang']",mbg enak jir uang saku ngurang,-7.0,Negatif
2026-05-05T23:48:22.000Z,"ok, see it pag3 🔥",tiktok,ok see it pag,"['ok', 'see', 'it', 'pag']","['ok', 'sih', 'itu', 'pag']","['ok', 'pag']","['ok', 'pag']",ok pag,4.0,Positif
2026-05-03T05:51:20.000Z,prabowo bermanfaat atau tidak??,tiktok,prabowo bermanfaat atau tidak,"['prabowo', 'bermanfaat', 'atau', 'tidak']","['prabowo', 'bermanfaat', 'atau', 'tidak']","['prabowo', 'bermanfaat']","['prabowo', 'manfaat']",prabowo manfaat,5.0,Positif
2026-05-01T10:42:22.000Z,"gara2 mbg, jadi bisa menabung",tiktok,gara mbg jadi bisa menabung,"['gara', 'mbg', 'jadi', 'bisa', 'menabung']","['gara', 'mbg', 'jadi', 'bisa', 'menabung']","['gara', 'mbg', 'menabung']","['gara', 'mbg', 'tabung']",gara mbg tabung,-1.0,Negatif
2026-05-05T21:52:10.000Z,tiddaaaaaaaaaaaaaaaak,tiktok,tiddaaaaaaaaaaaaaaaak,['tiddaaaaaaaaaaaaaaaak'],['tiddaaaaaaaaaaaaaaaak'],['tiddaaaaaaaaaaaaaaaak'],['tiddaaaaaaaaaaaaaaaak'],tiddaaaaaaaaaaaaaaaak,0.0,Netral
2026-05-01T11:22:44.000Z,menu nya kaya warteg orek sama telor mulu😭,tiktok,menu nya kaya warteg orek sama telor mulu,"['menu', 'nya', 'kaya', 'warteg', 'orek', 'sama', 'telor', 'mulu']","['menu', 'kayak', 'warteg', 'orek', 'sama', 'telor', 'mulu']","['menu', 'kayak', 'warteg', 'orek', 'telor', 'mulu']","['menu', 'kayak', 'warteg', 'orek', 'telor', 'mulu']",menu kayak warteg orek telor mulu,-4.0,Negatif
2026-05-03T04:26:11.000Z,kantin dan pedagang di sekolah gak di pikirkan pak 🥹,tiktok,kantin dan pedagang di sekolah gak di pikirkan pak,"['kantin', 'dan', 'pedagang', 'di', 'sekolah', 'gak', 'di', 'pikirkan', 'pak']","['kantin', 'dan', 'pedagang', 'di', 'sekolah', 'tidak', 'di', 'pikirkan', 'pak']","['kantin', 'pedagang', 'sekolah', 'pikirkan']","['kantin', 'dagang', 'sekolah', 'pikir']",kantin dagang sekolah pikir,-3.0,Negatif
2026-05-01T12:12:08.000Z,"gara² MBG tb gw nambah 5 cm cuyyy, mantap",tiktok,gara mbg tb gw nambah  cm cuyyy mantap,"['gara', 'mbg', 'tb', 'gw', 'nambah', 'cm', 'cuyyy', 'mantap']","['gara', 'mbg', 'tb', 'saya', 'menambah', 'cuma', 'cuy', 'mantap']","['gara', 'mbg', 'tb', 'menambah', 'cuy', 'mantap']","['gara', 'mbg', 'tb', 'tambah', 'cuy', 'mantap']",gara mbg tb tambah cuy mantap,4.0,Positif
2026-05-01T13:11:28.000Z,"jgn bilang MBG gak bermanfaat
kasian anak yg klo sekolah gaa dikasih uang jajan atau emng gak ada uang🥹",tiktok,"jgn bilang mbg gak bermanfaat
kasian anak yg klo sekolah gaa dikasih uang jajan atau emng gak ada uang","['jgn', 'bilang', 'mbg', 'gak', 'bermanfaat', 'kasian', 'anak', 'yg', 'klo', 'sekolah', 'gaa', 'dikasih', 'uang', 'jajan', 'atau', 'emng', 'gak', 'ada', 'uang']","['jangan', 'bilang', 'mbg', 'tidak', 'bermanfaat', 'kasihan', 'anak', 'yang', 'kalo', 'sekolah', 'enggak', 'dikasih', 'uang', 'jajan', 'atau', 'memang', 'tidak', 'ada', 'uang']","['bilang', 'mbg', 'bermanfaat', 'kasihan', 'anak', 'kalo', 'sekolah', 'dikasih', 'uang', 'jajan', 'uang']","['bilang', 'mbg', 'manfaat', 'kasihan', 'anak', 'kalo', 'sekolah', 'kasih', 'uang', 'jajan', 'uang']",bilang mbg manfaat kasihan anak kalo sekolah kasih uang jajan uang,1.0,Positif
2026-05-02T03:35:00.000Z,"yg blg tidak bermanfaat jgn dibagi , karena masih banyak yg butuh MBG",tiktok,yg blg tidak bermanfaat jgn dibagi  karena masih banyak yg butuh mbg,"['yg', 'blg', 'tidak', 'bermanfaat', 'jgn', 'dibagi', 'karena', 'masih', 'banyak', 'yg', 'butuh', 'mbg']","['yang', 'bilang', 'tidak', 'bermanfaat', 'jangan', 'dibagi', 'karena', 'masih', 'banyak', 'yang', 'butuh', 'mbg']","['bilang', 'bermanfaat', 'dibagi', 'butuh', 'mbg']","['bilang', 'manfaat', 'bagi', 'butuh', 'mbg']",bilang manfaat bagi butuh mbg,-4.0,Negatif
2026-05-02T06:00:24.000Z,"MBG PENTING PAK BUAT ANAK SAYA, TERIMAKASIH PAK PRESIDEN PRABOWO🥰",tiktok,mbg penting pak buat anak saya terimakasih pak presiden prabowo,"['mbg', 'penting', 'pak', 'buat', 'anak', 'saya', 'terimakasih', 'pak', 'presiden', 'prabowo']","['mbg', 'penting', 'pak', 'buat', 'anak', 'saya', 'terimakasih', 'pak', 'presiden', 'prabowo']","['mbg', 'anak', 'terimakasih', 'presiden', 'prabowo']","['mbg', 'anak', 'terimakasih', 'presiden', 'prabowo']",mbg anak terimakasih presiden prabowo,5.0,Positif
2026-05-02T06:51:32.000Z,"event buruh, bahasnya mbg. ga nyambung bgt 😭",tiktok,event buruh bahasnya mbg ga nyambung bgt,"['event', 'buruh', 'bahasnya', 'mbg', 'ga', 'nyambung', 'bgt']","['event', 'buruh', 'bahasnya', 'mbg', 'tidak', 'menyambung', 'banget']","['event', 'buruh', 'bahasnya', 'mbg', 'menyambung', 'banget']","['event', 'buruh', 'bahas', 'mbg', 'sambung', 'banget']",event buruh bahas mbg sambung banget,0.0,Netral
2026-05-01T13:05:41.000Z,"tidak nyambung,, hari buruh pidato tentang MBG",tiktok,tidak nyambung hari buruh pidato tentang mbg,"['tidak', 'nyambung', 'hari', 'buruh', 'pidato', 'tentang', 'mbg']","['tidak', 'menyambung', 'hari', 'buruh', 'pidato', 'tentang', 'mbg']","['menyambung', 'buruh', 'pidato', 'mbg']","['sambung', 'buruh', 'pidato', 'mbg']",sambung buruh pidato mbg,-3.0,Negatif
2026-05-02T03:16:36.000Z,"Judulnya MBG tapi gada gizinya. Ayam seutil, udang 1 biji, sayur basi. Ponakan w tetap selalu bawa bekal walaupun ada MBG soalnya beneran gada gizinya🙂",tiktok,judulnya mbg tapi gada gizinya ayam seutil udang  biji sayur basi ponakan w tetap selalu bawa bekal walaupun ada mbg soalnya beneran gada gizinya,"['judulnya', 'mbg', 'tapi', 'gada', 'gizinya', 'ayam', 'seutil', 'udang', 'biji', 'sayur', 'basi', 'ponakan', 'w', 'tetap', 'selalu', 'bawa', 'bekal', 'walaupun', 'ada', 'mbg', 'soalnya', 'beneran', 'gada', 'gizinya']","['judulnya', 'mbg', 'tapi', 'enggak ada', 'gizinya', 'ayam', 'seutil', 'udang', 'biji', 'sayur', 'basi', 'ponakan', 'gue', 'tetap', 'selalu', 'bawa', 'bekal', 'walaupun', 'ada', 'mbg', 'soalnya', 'benaran', 'enggak ada', 'gizinya']","['judulnya', 'mbg', 'enggak ada', 'gizinya', 'ayam', 'seutil', 'udang', 'biji', 'sayur', 'basi', 'ponakan', 'gue', 'bawa', 'bekal', 'mbg', 'benaran', 'enggak ada', 'gizinya']","['judul', 'mbg', 'enggak', 'ada', 'gizi', 'ayam', 'seutil', 'udang', 'biji', 'sayur', 'basi', 'ponakan', 'gue', 'bawa', 'bekal', 'mbg', 'benar', 'enggak', 'ada', 'gizi']",judul mbg enggak ada gizi ayam seutil udang biji sayur basi ponakan gue bawa bekal mbg benar enggak ada gizi,-13.0,Negatif
2026-05-01T10:28:55.000Z,"BERMANFAAT PLS, SEMENJAK ADA MBG UANG JAJAN AKU BISA DI TABUNG",tiktok,bermanfaat pls semenjak ada mbg uang jajan aku bisa di tabung,"['bermanfaat', 'pls', 'semenjak', 'ada', 'mbg', 'uang', 'jajan', 'aku', 'bisa', 'di', 'tabung']","['bermanfaat', 'pls', 'semenjak', 'ada', 'mbg', 'uang', 'jajan', 'saya', 'bisa', 'di', 'tabung']","['bermanfaat', 'pls', 'semenjak', 'mbg', 'uang', 'jajan', 'tabung']","['manfaat', 'pls', 'semenjak', 'mbg', 'uang', 'jajan', 'tabung']",manfaat pls semenjak mbg uang jajan tabung,5.0,Positif
2026-05-01T11:07:00.000Z,banyak komen yang ga pernah bersyukur.,tiktok,banyak komen yang ga pernah bersyukur,"['banyak', 'komen', 'yang', 'ga', 'pernah', 'bersyukur']","['banyak', 'komen', 'yang', 'tidak', 'pernah', 'bersyukur']","['komen', 'bersyukur']","['komen', 'syukur']",komen syukur,5.0,Positif
2026-05-01T12:03:53.000Z,progam bpak baik ..mungkin yg kurang baik yg mengelola,tiktok,progam bpak baik mungkin yg kurang baik yg mengelola,"['progam', 'bpak', 'baik', 'mungkin', 'yg', 'kurang', 'baik', 'yg', 'mengelola']","['progam', 'bpak', 'baik', 'mungkin', 'yang', 'kurang', 'baik', 'yang', 'mengelola']","['progam', 'bpak', 'mengelola']","['progam', 'bpak', 'kelola']",progam bpak kelola,0.0,Netral
2026-05-02T06:26:57.000Z,MBG itu bermanfaat jika yg ngelolanya baik dan benar...,tiktok,mbg itu bermanfaat jika yg ngelolanya baik dan benar,"['mbg', 'itu', 'bermanfaat', 'jika', 'yg', 'ngelolanya', 'baik', 'dan', 'benar']","['mbg', 'itu', 'bermanfaat', 'jika', 'yang', 'ngelolanya', 'baik', 'dan', 'benar']","['mbg', 'bermanfaat', 'ngelolanya']","['mbg', 'manfaat', 'ngelolanya']",mbg manfaat ngelolanya,5.0,Positif
2026-05-01T14:01:33.000Z,tolong BPK presiden pak Prabowo hentikan MBG,tiktok,tolong bpk presiden pak prabowo hentikan mbg,"['tolong', 'bpk', 'presiden', 'pak', 'prabowo', 'hentikan', 'mbg']","['tolong', 'bpk', 'presiden', 'pak', 'prabowo', 'hentikan', 'mbg']","['tolong', 'bpk', 'presiden', 'prabowo', 'hentikan', 'mbg']","['tolong', 'bpk', 'presiden', 'prabowo', 'henti', 'mbg']",tolong bpk presiden prabowo henti mbg,-3.0,Negatif
2026-05-01T11:00:19.000Z,"MBG itu bermanfaat untuk anak² sekolahan, makanan bergizi jika pengelolaan nya benar makan program ini sangat berguna , karna ga semua murid bisa makan siang , ada yg ortu nya ga punya uang , miris kadang ngeliat teman sekolah yang ga suka ke kantin karna ga punya uang , karna adanya program ini semua murid jadi merasakan makanan yang sama rata.",tiktok,mbg itu bermanfaat untuk anak sekolahan makanan bergizi jika pengelolaan nya benar makan program ini sangat berguna  karna ga semua murid bisa makan siang  ada yg ortu nya ga punya uang  miris kadang ngeliat teman sekolah yang ga suka ke kantin karna ga punya uang  karna adanya program ini semua murid jadi merasakan makanan yang sama rata,"['mbg', 'itu', 'bermanfaat', 'untuk', 'anak', 'sekolahan', 'makanan', 'bergizi', 'jika', 'pengelolaan', 'nya', 'benar', 'makan', 'program', 'ini', 'sangat', 'berguna', 'karna', 'ga', 'semua', 'murid', 'bisa', 'makan', 'siang', 'ada', 'yg', 'ortu', 'nya', 'ga', 'punya', 'uang', 'miris', 'kadang', 'ngeliat', 'teman', 'sekolah', 'yang', 'ga', 'suka', 'ke', 'kantin', 'karna', 'ga', 'punya', 'uang', 'karna', 'adanya', 'program', 'ini', 'semua', 'murid', 'jadi', 'merasakan', 'makanan', 'yang', 'sama', 'rata']","['mbg', 'itu', 'bermanfaat', 'untuk', 'anak', 'sekolahan', 'makanan', 'bergizi', 'jika', 'pengelolaan', 'benar', 'makan', 'program', 'ini', 'sangat', 'berguna', 'karena', 'tidak', 'semua', 'murid', 'bisa', 'makan', 'siang', 'ada', 'yang', 'orang tua', 'tidak', 'punya', 'uang', 'miris', 'kadang', 'melihat', 'teman', 'sekolah', 'yang', 'tidak', 'suka', 'ke', 'kantin', 'karena', 'tidak', 'punya', 'uang', 'karena', 'adanya', 'program', 'ini', 'semua', 'murid', 'jadi', 'merasakan', 'makanan', 'yang', 'sama', 'rata']","['mbg', 'bermanfaat', 'anak', 'sekolahan', 'makanan', 'bergizi', 'pengelolaan', 'makan', 'program', 'berguna', 'murid', 'makan', 'siang', 'orang tua', 'uang', 'miris', 'kadang', 'teman', 'sekolah', 'suka', 'kantin', 'uang', 'program', 'murid', 'merasakan', 'makanan']","['mbg', 'manfaat', 'anak', 'sekolah', 'makan', 'gizi', 'kelola', 'makan', 'program', 'guna', 'murid', 'makan', 'siang', 'orang', 'tua', 'uang', 'miris', 'kadang', 'teman', 'sekolah', 'suka', 'kantin', 'uang', 'program', 'murid', 'rasa', 'makan']",mbg manfaat anak sekolah makan gizi kelola makan program guna murid makan siang orang tua uang miris kadang teman sekolah suka kantin uang program murid rasa makan,-1.0,Negatif
2026-05-01T16:00:59.000Z,pendidikkan yg penting pak,tiktok,pendidikkan yg penting pak,"['pendidikkan', 'yg', 'penting', 'pak']","['pendidikkan', 'yang', 'penting', 'pak']",['pendidikkan'],['didik'],didik,-3.0,Negatif
2026-05-01T13:29:40.000Z,"presiden ga tepatin janji dibilang omon omon, presiden nepatin janji dibilang program nya ga bermanfaat",tiktok,presiden ga tepatin janji dibilang omon omon presiden nepatin janji dibilang program nya ga bermanfaat,"['presiden', 'ga', 'tepatin', 'janji', 'dibilang', 'omon', 'omon', 'presiden', 'nepatin', 'janji', 'dibilang', 'program', 'nya', 'ga', 'bermanfaat']","['presiden', 'tidak', 'tepatin', 'janji', 'dibilang', 'omon', 'omon', 'presiden', 'nepatin', 'janji', 'dibilang', 'program', 'tidak', 'bermanfaat']","['presiden', 'tepatin', 'janji', 'dibilang', 'omon', 'omon', 'presiden', 'nepatin', 'janji', 'dibilang', 'program', 'bermanfaat']","['presiden', 'tepatin', 'janji', 'bilang', 'omon', 'omon', 'presiden', 'nepatin', 'janji', 'bilang', 'program', 'manfaat']",presiden tepatin janji bilang omon omon presiden nepatin janji bilang program manfaat,11.0,Positif
2026-05-02T02:09:37.000Z,"tpi gara"" MBG semua SEMBAKO pada naik pak",tiktok,tpi gara mbg semua sembako pada naik pak,"['tpi', 'gara', 'mbg', 'semua', 'sembako', 'pada', 'naik', 'pak']","['tapi', 'gara', 'mbg', 'semua', 'sembako', 'pada', 'naik', 'pak']","['gara', 'mbg', 'sembako']","['gara', 'mbg', 'sembako']",gara mbg sembako,-4.0,Negatif
2026-05-01T14:49:20.000Z,"jgn ilangin mbg plisss,ak jdi bisa beli apapun pke uang saku💗",tiktok,jgn ilangin mbg plisssak jdi bisa beli apapun pke uang saku,"['jgn', 'ilangin', 'mbg', 'plisssak', 'jdi', 'bisa', 'beli', 'apapun', 'pke', 'uang', 'saku']","['jangan', 'ilangin', 'mbg', 'plisssak', 'jadi', 'bisa', 'beli', 'apapun', 'pakai', 'uang', 'saku']","['ilangin', 'mbg', 'plisssak', 'beli', 'apapun', 'pakai', 'uang', 'saku']","['ilangin', 'mbg', 'plisssak', 'beli', 'apa', 'pakai', 'uang', 'saku']",ilangin mbg plisssak beli apa pakai uang saku,-6.0,Negatif
2026-05-02T03:36:29.000Z,"semenjak ada MBG,ayam mahal,telor mahal",tiktok,semenjak ada mbgayam mahaltelor mahal,"['semenjak', 'ada', 'mbgayam', 'mahaltelor', 'mahal']","['semenjak', 'ada', 'mbgayam', 'mahaltelor', 'mahal']","['semenjak', 'mbgayam', 'mahaltelor', 'mahal']","['semenjak', 'mbgayam', 'mahaltelor', 'mahal']",semenjak mbgayam mahaltelor mahal,1.0,Positif
2026-05-02T04:52:39.000Z,sedang kan MBG di kotaku 😌,tiktok,sedang kan mbg di kotaku,"['sedang', 'kan', 'mbg', 'di', 'kotaku']","['sedang', 'kan', 'mbg', 'di', 'kotaku']","['mbg', 'kotaku']","['mbg', 'kota']",mbg kota,-1.0,Negatif
